iter	Passed	Remaining
0	4	4159
1	7	3946
2	11	3765
3	14	3690
4	18	3676
5	21	3626
6	25	3612
7	29	3614
8	34	3759
9	37	3745
10	41	3745
11	45	3730
12	49	3754
13	52	3731
14	56	3736
15	60	3718
16	64	3721
17	68	3714
18	71	3703
19	75	3689
20	79	3684
21	81	3636
22	85	3629
23	89	3623
24	93	3631
25	96	3630
26	100	3624
27	105	3650
28	108	3639
29	112	3632
30	116	3626
31	124	3759
32	128	3756
33	132	3753
34	136	3761
35	140	3755
36	143	3747
37	147	3737
38	151	3743
39	156	3749
40	160	3743
41	163	3738
42	167	3737
43	171	3735
44	175	3725
45	179	3723
46	184	3732
47	188	3739
48	193	3750
49	197	3747
50	201	3754
51	206	3763
52	211	3779
53	216	3789
54	220	3783
55	223	3774
56	227	3768
57	232	3770
58	235	3760
59	242	3798
60	246	3798
61	250	3785
62	253	3772
63	257	3762
64	260	3746
65	264	3748
66	268	3740
67	272	3733
68	275	3722
69	279	3718
70	283	3711
71	287	3703
72	291	3696
73	294	3688
74	298	3683
75	302	3676
76	305	3667
77	309	3661
78	313	3659
79	317	3651
80	321	3644
81	325	3645
82	329	3644
83	333	3641
84	337	3634
85	342	3638
86	346	3640
87	350	3635
88	354	3629
89	358	3622
90	362	3619
91	366	3613
92	369	3607
93	373	3600
94	377	3598
95	381	3590
96	384	3582
97	388	3576
98	392	3570
99	395	3563
100	399	3557
101	403	3551
102	407	3544
103	410	3540
104	414	3534
105	418	3533
106	423	3530
107	427	3528
108	430	3522
109	434	3519
110	438	3513
111	443	3517
112	447	3512
113	451	3510
114	455	3504
115	459	3498
116	462	3491
117	466	3486
118	469	3479
119	473	3475
120	477	3468
121	481	3464
122	485	3458
123	488	3453
124	492	3450
125	496	3444
126	500	3437
127	503	3432
128	507	3428
129	511	3423
130	515	3418
131	518	3411
132	522	3406
133	526	3400
134	529	3395
135	533	3390
136	537	3384
137	541	3381
138	544	3375
139	548	3368
140	551	3361
141	555	3356
142	559	3355
143	563	3351
144	567	3344
145	570	3339
146	575	3336
147	580	3342
148	587	3354
149	592	3360
150	598	3365
151	603	3364
152	607	3362
153	611	3357
154	615	3353
155	618	3348
156	622	3341
157	625	3336
158	629	3329
159	633	3324
160	637	3320
161	640	3314
162	644	3309
163	648	3305
164	652	3301
165	656	3296
166	659	3291
167	663	3286
168	667	3282
169	671	3278
170	675	3273
171	680	3274
172	684	3271
173	687	3265
174	692	3263
175	696	3261
176	700	3258
177	704	3255
178	708	3251
179	712	3246
180	716	3242
181	720	3237
182	723	3232
183	727	3226
184	731	3221
185	735	3217
186	739	3213
187	745	3220
188	749	3216
189	753	3213
190	757	3208
191	761	3203
192	765	3200
193	767	3190
194	771	3186
195	776	3184
196	780	3181
197	784	3176
198	788	3171
199	791	3167
200	795	3162
201	799	3159
202	803	3156
203	808	3155
204	812	3152
205	816	3147
206	820	3144
207	824	3139
208	828	3135
209	831	3126
210	835	3126
211	840	3124
212	844	3121
213	853	3135
214	857	3130
215	862	3130
216	867	3131
217	871	3125
218	875	3121
219	880	3123
220	884	3118
221	888	3113
222	892	3109
223	896	3107
224	900	3103
225	904	3098
226	908	3095
227	913	3093
228	917	3087
229	921	3083
230	924	3078
231	929	3076
232	933	3071
233	936	3066
234	940	3061
235	946	3062
236	949	3057
237	953	3053
238	957	3048
239	961	3046
240	965	3041
241	969	3036
242	972	3031
243	977	3028
244	981	3023
245	984	3017
246	988	3014
247	993	3011
248	996	3006
249	1000	3001
250	1004	2997
251	1008	2993
252	1012	2988
253	1016	2984
254	1020	2980
255	1024	2976
256	1028	2972
257	1031	2967
258	1035	2963
259	1039	2958
260	1045	2961
261	1049	2957
262	1053	2951
263	1057	2947
264	1060	2942
265	1064	2937
266	1068	2933
267	1072	2929
268	1076	2925
269	1080	2920
270	1083	2915
271	1087	2910
272	1091	2906
273	1095	2901
274	1098	2897
275	1102	2893
276	1106	2888
277	1110	2884
278	1115	2882
279	1119	2878
280	1123	2874
281	1127	2870
282	1131	2866
283	1135	2862
284	1139	2858
285	1143	2855
286	1147	2850
287	1151	2846
288	1155	2841
289	1158	2837
290	1162	2832
291	1166	2828
292	1170	2824
293	1174	2819
294	1178	2816
295	1182	2812
296	1186	2808
297	1191	2806
298	1195	2802
299	1199	2798
300	1203	2794
301	1207	2791
302	1212	2788
303	1216	2785
304	1220	2780
305	1224	2776
306	1227	2771
307	1231	2767
308	1235	2762
309	1239	2758
310	1243	2753
311	1246	2749
312	1250	2745
313	1254	2741
314	1258	2736
315	1262	2732
316	1268	2732
317	1272	2729
318	1276	2725
319	1280	2721
320	1285	2718
321	1288	2713
322	1292	2708
323	1296	2704
324	1301	2702
325	1304	2697
326	1308	2693
327	1312	2689
328	1317	2686
329	1320	2681
330	1324	2677
331	1329	2674
332	1333	2671
333	1337	2666
334	1340	2661
335	1344	2657
336	1348	2652
337	1352	2648
338	1356	2644
339	1360	2640
340	1364	2637
341	1368	2632
342	1372	2628
343	1375	2623
344	1380	2620
345	1383	2615
346	1387	2611
347	1391	2607
348	1396	2604
349	1399	2599
350	1403	2594
351	1407	2590
352	1411	2587
353	1415	2582
354	1419	2578
355	1423	2574
356	1427	2570
357	1431	2566
358	1435	2562
359	1438	2557
360	1442	2553
361	1446	2549
362	1450	2545
363	1454	2542
364	1458	2537
365	1462	2532
366	1466	2528
367	1469	2524
368	1473	2520
369	1477	2515
370	1481	2511
371	1485	2507
372	1489	2503
373	1493	2499
374	1496	2494
375	1500	2490
376	1504	2485
377	1508	2482
378	1512	2477
379	1516	2473
380	1519	2469
381	1523	2464
382	1527	2460
383	1531	2456
384	1535	2453
385	1540	2450
386	1545	2447
387	1552	2448
388	1557	2445
389	1562	2444
390	1568	2442
391	1573	2440
392	1580	2440
393	1587	2441
394	1591	2438
395	1596	2435
396	1601	2432
397	1606	2430
398	1611	2427
399	1615	2423
400	1619	2419
401	1624	2416
402	1628	2412
403	1632	2408
404	1637	2406
405	1641	2402
406	1646	2398
407	1650	2394
408	1657	2395
409	1664	2395
410	1671	2394
411	1676	2392
412	1680	2388
413	1688	2389
414	1692	2385
415	1696	2381
416	1701	2378
417	1706	2375
418	1710	2372
419	1716	2369
420	1720	2365
421	1724	2361
422	1728	2357
423	1732	2353
424	1736	2349
425	1741	2346
426	1745	2342
427	1750	2339
428	1754	2335
429	1759	2331
430	1766	2331
431	1774	2333
432	1785	2337
433	1796	2342
434	1804	2343
435	1810	2342
436	1815	2338
437	1819	2335
438	1824	2331
439	1829	2328
440	1833	2324
441	1838	2320
442	1842	2317
443	1847	2313
444	1852	2310
445	1857	2307
446	1862	2304
447	1866	2300
448	1871	2296
449	1876	2293
450	1881	2289
451	1886	2287
452	1892	2284
453	1896	2280
454	1901	2277
455	1906	2274
456	1910	2270
457	1915	2266
458	1919	2262
459	1924	2259
460	1929	2256
461	1935	2254
462	1940	2250
463	1945	2247
464	1950	2243
465	1954	2239
466	1959	2236
467	1963	2232
468	1968	2228
469	1974	2226
470	1979	2222
471	1983	2218
472	1987	2214
473	1991	2210
474	1996	2206
475	2001	2203
476	2007	2200
477	2012	2197
478	2016	2193
479	2022	2190
480	2027	2187
481	2032	2184
482	2037	2181
483	2042	2177
484	2046	2173
485	2050	2168
486	2055	2164
487	2059	2160
488	2063	2156
489	2067	2152
490	2071	2147
491	2076	2144
492	2081	2140
493	2085	2135
494	2089	2131
495	2093	2127
496	2097	2122
497	2101	2118
498	2106	2114
499	2110	2110
500	2114	2106
501	2118	2101
502	2122	2097
503	2126	2093
504	2131	2088
505	2134	2084
506	2139	2080
507	2143	2076
508	2148	2072
509	2152	2068
510	2156	2063
511	2163	2061
512	2169	2059
513	2174	2056
514	2181	2054
515	2192	2056
516	2198	2053
517	2204	2051
518	2210	2048
519	2216	2046
520	2223	2043
521	2228	2040
522	2233	2037
523	2239	2034
524	2245	2031
525	2250	2028
526	2254	2023
527	2258	2019
528	2262	2014
529	2267	2011
530	2271	2006
531	2276	2002
532	2280	1998
533	2285	1994
534	2289	1990
535	2294	1985
536	2298	1981
537	2302	1977
538	2306	1972
539	2310	1968
540	2314	1963
541	2318	1958
542	2322	1954
543	2325	1949
544	2330	1945
545	2333	1940
546	2337	1936
547	2341	1931
548	2345	1926
549	2349	1922
550	2353	1917
551	2357	1913
552	2361	1909
553	2365	1904
554	2369	1899
555	2372	1894
556	2376	1889
557	2379	1885
558	2383	1880
559	2387	1876
560	2391	1871
561	2395	1867
562	2399	1862
563	2402	1857
564	2406	1852
565	2410	1848
566	2414	1843
567	2418	1839
568	2422	1834
569	2426	1830
570	2429	1825
571	2433	1821
572	2437	1816
573	2441	1811
574	2445	1807
575	2449	1802
576	2452	1798
577	2456	1793
578	2459	1788
579	2463	1783
580	2467	1779
581	2470	1774
582	2474	1770
583	2478	1765
584	2482	1761
585	2486	1756
586	2490	1751
587	2493	1747
588	2497	1742
589	2501	1738
590	2505	1733
591	2509	1729
592	2513	1725
593	2517	1720
594	2521	1715
595	2524	1711
596	2529	1707
597	2532	1702
598	2536	1698
599	2540	1693
600	2544	1689
601	2548	1684
602	2551	1679
603	2555	1675
604	2559	1670
605	2562	1666
606	2566	1661
607	2569	1656
608	2573	1652
609	2577	1648
610	2581	1643
611	2585	1639
612	2589	1634
